alpha1,alpha3,time,model_stock,model_effort,real_stock,real_effort
-0.003,-0.02,27,0.07524199411660078,0.09643154861353793,0.06614221137394524,0.09538653648673306
-0.003,-0.02,28,0.08270780464423227,0.10658360293150816,0.07429561491603079,0.10345099524745932
-0.003,-0.02,29,0.091283324957462,0.11869981814418075,0.07982548432653046,0.11143998274544732
-0.003,-0.02,30,0.10214702602112033,0.13684321960827583,0.08464408120857476,0.11380758474033985
-0.003,-0.01,1,0.0009153200424279318,0.016978925766527,-0.0016119475556586923,1.9444019386073857e-5
-0.003,-0.01,2,0.004824933659595816,0.017198360199794625,-0.002159836382695989,-0.003628047446808362
-0.003,-0.01,3,0.0078445233875476,0.017409923170314902,-0.003802357045879357,-0.009781149117063138
-0.003,-0.01,4,0.010172610623504382,0.017555692393394932,-0.0029279791053400616,0.0007957307527190494
-0.003,-0.01,5,0.0119360950130417,0.017536808828217957,-0.0002776824049067208,0.008904643438812497
-0.003,-0.01,6,0.013288578617606557,0.01759201700444648,-0.0009811304996678331,-0.0018127599892611567
-0.003,-0.01,7,0.014348062047891175,0.017726968115023937,-0.0008042557437489253,-9.122812402837229e-5
-0.003,-0.01,8,0.015207318861899532,0.017954844896151803,0.0001255306201194985,0.003686639722311078
-0.003,-0.01,9,0.015942062346523386,0.018297574746533107,-0.0017639264112091874,-0.00762689110394796
-0.003,-0.01,10,0.016617628337190386,0.018787836157840365,-0.00034929899827838146,0.006066943704524169
-0.003,-0.01,11,0.01729479760116323,0.01947217495358487,0.000779977788634285,0.005894351184784294
-0.003,-0.01,12,0.01803528148420687,0.020415440872761578,0.003974346345024528,0.014782916764164999
-0.003,-0.01,13,0.018907334201583872,0.021706818465522786,0.007972203469334235,0.021433118692904915
-0.003,-0.01,14,0.019992085604766792,0.023468461082797716,0.01024571488857211,0.01942619768696443
-0.003,-0.01,15,0.021391096557321354,0.025866941278991234,0.011421334661787616,0.018201524821749165
-0.003,-0.01,16,0.023235845425881835,0.029128881875891355,0.015365272857791898,0.027172973005234913
-0.003,-0.01,17,0.02564703804258369,0.033341248344670366,0.019757643642576157,0.0363866628900798
-0.003,-0.01,18,0.02871193944405181,0.03848567981074452,0.02607724319907534,0.046058111709083326
-0.003,-0.01,19,0.032063556984986384,0.04275557158675141,0.032067985928988324,0.054448325080729255
-0.003,-0.01,20,0.035793208999637394,0.04769384305737806,0.03175296343224757,0.04047125673083545
-0.003,-0.01,21,0.03994486466658862,0.0531946624774071,0.036493846558845626,0.04982503812886209
-0.003,-0.01,22,0.04460505062425845,0.05947959216053709,0.0397829161469858,0.05783672526985862
-0.003,-0.01,23,0.04970165337374468,0.06597394070182107,0.0451193176028545,0.06457259233733582
-0.003,-0.01,24,0.055547222912495225,0.07420933063473147,0.05000662439262597,0.07386739767118075
-0.003,-0.01,25,0.061965288781039386,0.08246019166487267,0.055842910580694044,0.07009395755647525
-0.003,-0.01,26,0.06847805106267688,0.08929304535549738,0.05955152251330182,0.07558314835568365
-0.003,-0.01,27,0.07502931205266009,0.09598659983229865,0.06614221137394524,0.09538653648673306
-0.003,-0.01,28,0.08234538177647138,0.10574737041108123,0.07429561491603079,0.10345099524745932
-0.003,-0.01,29,0.09065137110986884,0.11721406200392175,0.07982548432653046,0.11143998274544732
-0.003,-0.01,30,0.10094647467427179,0.13384029020882304,0.08464408120857476,0.11380758474033985
-0.003,0.0,1,0.0006753185632798715,0.015978214437607774,-0.0016119475556586923,1.9444019386073857e-5
-0.003,0.0,2,0.004461216671008414,0.016441872099504456,-0.002159836382695989,-0.003628047446808362
-0.003,0.0,3,0.007432552346156418,0.016843970118407898,-0.003802357045879357,-0.009781149117063138
-0.003,0.0,4,0.009761633075834738,0.017146667015821584,-0.0029279791053400616,0.0007957307527190494
-0.003,0.0,5,0.011560992525305305,0.017274225749381453,-0.0002776824049067208,0.008904643438812497
-0.003,0.0,6,0.012969421203223284,0.017449116035574475,-0.0009811304996678331,-0.0018127599892611567
-0.003,0.0,7,0.014095806368924206,0.01768588544727705,-0.0008042557437489253,-9.122812402837229e-5
-0.003,0.0,8,0.015027586934107159,0.018004327960873638,0.0001255306201194985,0.003686639722311078
-0.003,0.0,9,0.015837569953263318,0.018431144384958038,-0.0017639264112091874,-0.00762689110394796
-0.003,0.0,10,0.016589669435252204,0.01900228750044684,-0.00034929899827838146,0.006066943704524169
-0.003,0.0,11,0.01734392433089296,0.019765712963000528,0.000779977788634285,0.005894351184784294
-0.003,0.0,12,0.018161317909983286,0.020785584640419217,0.003974346345024528,0.014782916764164999
-0.003,0.0,13,0.019108718634318705,0.0221476156285809,0.007972203469334235,0.021433118692904915
-0.003,0.0,14,0.020264374214200964,0.02396633119404357,0.01024571488857211,0.01942619768696443
-0.003,0.0,15,0.021724355531067826,0.026394540717906503,0.011421334661787616,0.018201524821749165
-0.003,0.0,16,0.023610573639512293,0.029636361108440375,0.015365272857791898,0.027172973005234913
-0.003,0.0,17,0.026034088053360098,0.0337688338941922,0.019757643642576157,0.0363866628900798
-0.003,0.0,18,0.029074415411228217,0.03877183777325744,0.02607724319907534,0.046058111709083326
-0.003,0.0,19,0.03240765551490444,0.04304298289945005,0.032067985928988324,0.054448325080729255
