alpha1,delta,time,model_stock,model_effort,real_stock,real_effort
0.0,0.4,45,0.13047524082268336,0.1306041161429217,0.10529421043108513,0.13098197798692954
0.0,0.4,46,0.13047523369277986,0.13060409096484785,0.09864710841972567,0.12273188737133137
0.0,0.4,47,0.13047519525694326,0.13060403161935322,0.1156754388123222,0.10946933506001344
0.0,0.4,48,0.13047505426179667,0.1306038221051842,0.11770639138694414,0.12349621869958492
0.0,0.4,49,0.1304746341847574,0.13060321553911386,0.11037135588436112,0.11161976058475545
0.0,0.4,50,0.13047340731451437,0.13060144953985744,0.11687476044072298,0.12295338565712906
0.0,0.4,51,0.13046984680071777,0.130596329597781,0.11121612762966772,0.10329371935042267
0.0,0.4,52,0.13047342787636387,0.1306046753570375,0.13207531289914567,0.1371320883313586
0.0,0.5,1,-0.0022257811182774126,0.0020166489345831715,0.0010573282817052285,-9.268560156718652e-5
0.0,0.5,2,0.0002045905429557155,0.002637911946002416,-0.00010793532820605928,-0.003722888986393038
0.0,0.5,3,0.0016901768539766128,0.0031813099953724856,-0.0023095401415708324,-0.009712280266911351
0.0,0.5,4,0.002630794827776748,0.0035783161162013287,-0.0016419035911452169,0.0009656708145117902
0.0,0.5,5,0.0031011865969898635,0.003579108217042787,0.0007072227544764366,0.008858172135269037
0.0,0.5,6,0.0033370255941050954,0.003580694868157728,-4.440120189764564e-5,-0.0016985432484186603
0.0,0.5,7,0.0034564881083391772,0.0035839295176956954,0.0001342385407124941,0.0002646009479329489
0.0,0.5,8,0.003519491456544073,0.003590551109346576,0.0005703856029392175,0.003785284879187656
0.0,0.5,9,0.003557684971258766,0.003603981405372693,-0.0014161574399275587,-0.007625927758318684
0.0,0.5,10,0.0035903927402086695,0.003631243213412902,0.0003751294141410551,0.0062492828059905895
0.0,0.5,11,0.0036343629201193196,0.0036865292280245892,0.0016537489077840574,0.005886080682446792
0.0,0.5,12,0.003712324741901617,0.003798577393407407,0.004605973479577595,0.014808833039055419
0.0,0.5,13,0.0038648108183820867,0.0040257729426739965,0.008590782794692126,0.02116795826780387
0.0,0.5,14,0.004171157542626413,0.004486352409852605,0.010786864959335295,0.019471811377116004
0.0,0.5,15,0.004790852591189621,0.005420148440274558,0.011806330620067543,0.01840149627865301
0.0,0.5,16,0.006046512816945932,0.0073132987876425165,0.0158206225365509,0.026884571751505378
0.0,0.5,17,0.00830568213681608,0.010578721375026905,0.020421231908708853,0.036387715255927974
0.0,0.5,18,0.011982167347264002,0.015676989944535626,0.026587022169905616,0.04599948419346073
0.0,0.5,19,0.015397403297546828,0.018835132732471147,0.03259458296653495,0.05436415512454066
0.0,0.5,20,0.019066492166073968,0.022762544403147927,0.032489899955638966,0.04015622432651138
0.0,0.5,21,0.023153543454766206,0.027272543486069927,0.03688514750378784,0.04945758684026005
